Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-17 18:00:00;32841,070;28373,450;
2023-08-17 19:00:00;32842,680;28374,850;
2023-08-17 20:00:00;32844,170;28376,280;
2023-08-17 21:00:00;32845,640;28377,720;
2023-08-17 22:00:00;32847,110;28379,160;
2023-08-17 23:00:00;32848,610;28380,590;
2023-08-18 00:00:00;32850,110;28382,010;
2023-08-18 01:00:00;32851,570;28383,440;
2023-08-18 02:00:00;32853,000;28384,880;
2023-08-18 03:00:00;32854,430;28386,320;
2023-08-18 04:00:00;32855,850;28387,750;
2023-08-18 05:00:00;32857,280;28389,190;
2023-08-18 06:00:00;32858,690;28390,620;
2023-08-18 07:00:00;32860,290;28392,000;
2023-08-18 08:00:00;32862,030;28393,390;
2023-08-18 09:00:00;32863,600;28394,800;
2023-08-18 10:00:00;32865,160;28396,220;
2023-08-18 11:00:00;32866,600;28397,680;
2023-08-18 12:00:00;32868,040;28399,120;
2023-08-18 13:00:00;32869,470;28400,560;
2023-08-18 14:00:00;32870,890;28402,000;
2023-08-18 15:00:00;32872,340;28403,440;
2023-08-18 16:00:00;32873,770;28404,880;
2023-08-18 17:00:00;32875,220;28406,310;
2023-08-18 18:00:00;32876,710;28407,730;
2023-08-18 19:00:00;32878,200;28409,160;
2023-08-18 20:00:00;32879,690;28410,570;
2023-08-18 21:00:00;32881,190;28411,990;
2023-08-18 22:00:00;32882,660;28413,420;
2023-08-18 23:00:00;32884,140;28414,830;
2023-08-19 00:00:00;32885,610;28416,250;
2023-08-19 01:00:00;32887,070;28417,650;
2023-08-19 02:00:00;32888,500;28419,060;
2023-08-19 03:00:00;32889,910;28420,490;
2023-08-19 04:00:00;32891,370;28421,910;
2023-08-19 05:00:00;32892,850;28423,330;
2023-08-19 06:00:00;32894,250;28424,750;
2023-08-19 07:00:00;32895,780;28426,140;
2023-08-19 08:00:00;32897,290;28427,540;
2023-08-19 09:00:00;32898,770;28428,950;
2023-08-19 10:00:00;32900,200;28430,380;
2023-08-19 11:00:00;32901,620;28431,800;
2023-08-19 12:00:00;32903,030;28433,220;
2023-08-19 13:00:00;32904,430;28434,620;
2023-08-19 14:00:00;32905,870;28436,040;
2023-08-19 15:00:00;32907,280;28437,470;
2023-08-19 16:00:00;32908,690;28438,900;
2023-08-19 17:00:00;32910,140;28440,310;
2023-08-19 18:00:00;32911,610;28441,710;
2023-08-19 19:00:00;32913,230;28443,100;
2023-08-19 20:00:00;32914,720;28444,520;
2023-08-19 21:00:00;32916,210;28445,930;
2023-08-19 22:00:00;32917,750;28447,330;
2023-08-19 23:00:00;32919,230;28448,730;
2023-08-20 00:00:00;32920,690;28450,130;
2023-08-20 01:00:00;32922,120;28451,560;
2023-08-20 02:00:00;32923,600;28452,980;
2023-08-20 03:00:00;32925,010;28454,400;
2023-08-20 04:00:00;32926,410;28455,820;
2023-08-20 05:00:00;32927,810;28457,240;
2023-08-20 06:00:00;32929,210;28458,650;
2023-08-20 07:00:00;32930,660;28460,080;
2023-08-20 08:00:00;32932,230;28461,480;
2023-08-20 09:00:00;32933,930;28462,860;
2023-08-20 10:00:00;32935,560;28464,250;
2023-08-20 11:00:00;32937,000;28465,650;
2023-08-20 12:00:00;32938,430;28467,060;
2023-08-20 13:00:00;32939,880;28468,490;
2023-08-20 14:00:00;32941,300;28469,910;
2023-08-20 15:00:00;32942,710;28471,330;
2023-08-20 16:00:00;32944,120;28472,740;
2023-08-20 17:00:00;32945,640;28474,150;
2023-08-20 18:00:00;32947,110;28475,570;
2023-08-20 19:00:00;32948,570;28476,990;
2023-08-20 20:00:00;32950,010;28478,410;
2023-08-20 21:00:00;32951,460;28479,820;
2023-08-20 22:00:00;32952,920;28481,220;
2023-08-20 23:00:00;32954,490;28482,620;
2023-08-21 00:00:00;32955,980;28484,030;
2023-08-21 01:00:00;32957,430;28485,450;
2023-08-21 02:00:00;32958,860;28486,880;
2023-08-21 03:00:00;32960,270;28488,300;
2023-08-21 04:00:00;32961,670;28489,720;
2023-08-21 05:00:00;32963,070;28491,150;
2023-08-21 06:00:00;32964,510;28492,600;
2023-08-21 07:00:00;32965,970;28494,030;
2023-08-21 08:00:00;32967,460;28495,440;
2023-08-21 09:00:00;32968,970;28496,850;
2023-08-21 10:00:00;32970,430;28498,290;
2023-08-21 11:00:00;32971,880;28499,740;
2023-08-21 12:00:00;32973,320;28501,180;
2023-08-21 13:00:00;32974,740;28502,610;
2023-08-21 14:00:00;32976,160;28504,040;
2023-08-21 15:00:00;32977,570;28505,450;
2023-08-21 16:00:00;32979,000;28506,870;
2023-08-21 17:00:00;32980,440;28508,250;
2023-08-21 18:00:00;32981,980;28509,620;
2023-08-21 19:00:00;32983,670;28510,970;
2023-08-21 20:00:00;32985,280;28512,340;
2023-08-21 21:00:00;32986,720;28513,710;
2023-08-21 22:00:00;32988,210;28515,090;
2023-08-21 23:00:00;32989,700;28516,450;
2023-08-22 00:00:00;32991,180;28517,830;
2023-08-22 01:00:00;32992,570;28519,220;
2023-08-22 02:00:00;32993,960;28520,610;
2023-08-22 03:00:00;32995,330;28522,010;
2023-08-22 04:00:00;32996,760;28523,390;
2023-08-22 05:00:00;32998,140;28524,790;
2023-08-22 06:00:00;32999,520;28526,190;
2023-08-22 07:00:00;33001,310;28527,550;
2023-08-22 08:00:00;33003,220;28528,890;
2023-08-22 09:00:00;33004,810;28530,260;
2023-08-22 10:00:00;33006,260;28531,650;
2023-08-22 11:00:00;33007,650;28533,030;
2023-08-22 12:00:00;33009,020;28534,410;
2023-08-22 13:00:00;33010,410;28535,780;
2023-08-22 14:00:00;33011,840;28537,140;
2023-08-22 15:00:00;33013,200;28538,510;
2023-08-22 16:00:00;33014,580;28539,890;
2023-08-22 17:00:00;33016,010;28541,260;
2023-08-22 18:00:00;33017,620;28542,600;
2023-08-22 19:00:00;33019,250;28543,930;
2023-08-22 20:00:00;33020,800;28545,270;
2023-08-22 21:00:00;33022,250;28546,620;
2023-08-22 22:00:00;33023,730;28547,970;
2023-08-22 23:00:00;33025,320;28549,290;
2023-08-23 00:00:00;33026,800;28550,640;
2023-08-23 01:00:00;33028,200;28552,010;
2023-08-23 02:00:00;33029,560;28553,380;
2023-08-23 03:00:00;33030,910;28554,740;
2023-08-23 04:00:00;33032,260;28556,100;
2023-08-23 05:00:00;33033,610;28557,470;
2023-08-23 06:00:00;33035,050;28558,820;
2023-08-23 07:00:00;33036,870;28560,110;
2023-08-23 08:00:00;33038,870;28561,370;
2023-08-23 09:00:00;33040,420;28562,680;
2023-08-23 10:00:00;33041,830;28564,020;
2023-08-23 11:00:00;33043,180;28565,360;
2023-08-23 12:00:00;33044,520;28566,710;
2023-08-23 13:00:00;33045,880;28568,050;
2023-08-23 14:00:00;33047,280;28569,390;
