Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-11-11 18:00:00;36199,240;31530,150;
2023-11-11 19:00:00;36200,910;31531,690;
2023-11-11 20:00:00;36202,580;31533,200;
2023-11-11 21:00:00;36204,300;31534,730;
2023-11-11 22:00:00;36205,940;31536,250;
2023-11-11 23:00:00;36207,590;31537,800;
2023-11-12 00:00:00;36209,240;31539,310;
2023-11-12 01:00:00;36211,940;31541,500;
2023-11-12 02:00:00;36214,410;31543,900;
2023-11-12 03:00:00;36216,820;31546,340;
2023-11-12 04:00:00;36219,240;31548,800;
2023-11-12 05:00:00;36221,720;31551,290;
2023-11-12 06:00:00;36224,140;31553,770;
2023-11-12 07:00:00;36226,640;31556,260;
2023-11-12 08:00:00;36228,210;31557,830;
2023-11-12 09:00:00;36229,900;31559,350;
2023-11-12 10:00:00;36232,010;31560,810;
2023-11-12 11:00:00;36234,070;31562,240;
2023-11-12 12:00:00;36235,760;31563,750;
2023-11-12 13:00:00;36237,360;31565,310;
2023-11-12 14:00:00;36238,930;31566,850;
2023-11-12 15:00:00;36240,530;31568,420;
2023-11-12 16:00:00;36242,120;31569,960;
2023-11-12 17:00:00;36243,700;31571,500;
2023-11-12 18:00:00;36245,320;31573,030;
2023-11-12 19:00:00;36246,970;31574,590;
2023-11-12 20:00:00;36248,600;31576,110;
2023-11-12 21:00:00;36250,260;31577,650;
2023-11-12 22:00:00;36251,960;31579,180;
2023-11-12 23:00:00;36253,560;31580,720;
2023-11-13 00:00:00;36255,240;31582,270;
2023-11-13 01:00:00;36256,840;31583,830;
2023-11-13 02:00:00;36258,390;31585,400;
2023-11-13 03:00:00;36259,940;31586,960;
2023-11-13 04:00:00;36261,500;31588,530;
2023-11-13 05:00:00;36263,060;31590,100;
2023-11-13 06:00:00;36264,620;31591,670;
2023-11-13 07:00:00;36266,180;31593,240;
2023-11-13 08:00:00;36267,900;31594,770;
2023-11-13 09:00:00;36269,840;31596,260;
2023-11-13 10:00:00;36271,420;31597,790;
2023-11-13 11:00:00;36273,030;31599,370;
2023-11-13 12:00:00;36274,590;31600,930;
2023-11-13 13:00:00;36276,170;31602,490;
2023-11-13 14:00:00;36277,730;31604,060;
2023-11-13 15:00:00;36279,320;31605,640;
2023-11-13 16:00:00;36280,890;31607,200;
2023-11-13 17:00:00;36282,480;31608,800;
2023-11-13 18:00:00;36284,070;31610,380;
2023-11-13 19:00:00;36285,720;31611,930;
2023-11-13 20:00:00;36287,330;31613,410;
2023-11-13 21:00:00;36289,070;31614,940;
2023-11-13 22:00:00;36290,700;31616,480;
2023-11-13 23:00:00;36292,540;31617,980;
2023-11-14 00:00:00;36294,200;31619,470;
2023-11-14 01:00:00;36295,820;31621,030;
2023-11-14 02:00:00;36297,360;31622,560;
2023-11-14 03:00:00;36298,970;31624,100;
2023-11-14 04:00:00;36300,530;31625,680;
2023-11-14 05:00:00;36302,080;31627,230;
2023-11-14 06:00:00;36303,650;31628,820;
2023-11-14 07:00:00;36305,230;31630,390;
2023-11-14 08:00:00;36307,280;31631,830;
2023-11-14 09:00:00;36309,570;31633,230;
2023-11-14 10:00:00;36311,280;31634,760;
2023-11-14 11:00:00;36312,870;31636,290;
2023-11-14 12:00:00;N/A;N/A;
2023-11-14 13:00:00;36316,070;31639,450;
2023-11-14 14:00:00;N/A;N/A;
2023-11-14 15:00:00;N/A;N/A;
2023-11-14 16:00:00;N/A;N/A;
2023-11-14 17:00:00;N/A;N/A;
2023-11-14 18:00:00;N/A;N/A;
2023-11-14 19:00:00;N/A;N/A;
2023-11-14 20:00:00;N/A;N/A;
2023-11-14 21:00:00;N/A;N/A;
2023-11-14 22:00:00;N/A;N/A;
2023-11-14 23:00:00;N/A;N/A;
